Month,Year,Count
12,2022,1339
04,2023,2225
01,2023,1939
06,2023,2378
08,2023,2881
02,2023,1707
03,2023,1894
07,2022,2971
07,2023,2732
08,2022,2889
09,2022,2438
05,2023,2350
10,2022,1988
11,2022,1616
09,2023,2392
07,2019,1824
03,2020,968
07,2021,2676
08,2019,1862
10,2019,1405
07,2020,1788
11,2019,980
05,2020,1667
02,2020,1031
01,2022,1575
02,2022,1574
09,2020,1672
01,2020,1066
04,2020,949
09,2019,1640
10,2020,1552
12,2021,1733
04,2022,2162
03,2022,2162
05,2022,2767
06,2022,3019
08,2020,1834
06,2020,1661
10,2021,2698
08,2021,2521
12,2020,966
03,2021,1832
04,2021,2101
05,2021,2320
11,2021,1980
06,2021,2638
09,2021,2301
01,2021,1250
05,2012,1143
10,2015,1501
01,2010,528
02,2010,425
03,2010,831
04,2010,912
05,2010,1066
06,2010,1161
07,2010,1289
08,2010,1321
09,2010,1040
10,2010,875
11,2010,651
12,2010,435
01,2011,459
02,2011,563
03,2011,825
04,2011,977
05,2011,1126
06,2011,1250
07,2011,1041
08,2011,1131
09,2011,1084
10,2011,835
11,2011,595
12,2011,568
01,2012,669
02,2012,589
03,2012,791
04,2012,798
06,2012,1076
07,2012,1177
08,2012,1269
09,2012,1024
10,2012,899
11,2012,568
12,2012,640
01,2013,729
02,2013,640
03,2013,838
04,2013,1001
05,2013,1159
06,2013,1137
07,2013,1217
08,2013,1105
09,2013,981
10,2013,855
11,2013,569
12,2013,508
01,2014,521
02,2014,541
03,2014,782
04,2014,990
05,2014,1236
06,2014,1411
07,2014,1397
08,2014,1415
09,2014,1304
10,2014,1417
11,2014,856
12,2014,747
01,2015,728
02,2015,608
03,2015,1002
04,2015,1247
05,2015,1497
06,2015,1550
07,2015,1907
08,2015,1550
09,2015,1613
11,2015,1089
12,2015,994
01,2016,944
02,2016,1044
03,2016,1261
04,2016,1284
05,2016,1813
06,2016,1840
07,2016,1769
08,2016,1854
09,2016,1775
10,2016,1524
11,2016,1121
12,2016,1001
01,2017,1158
02,2017,1494
03,2017,1406
04,2017,1688
05,2017,1739
06,2017,1882
07,2017,2199
08,2017,2011
09,2017,1711
10,2017,1756
11,2017,1169
12,2017,939
01,2018,965
02,2018,1058
03,2018,1087
04,2018,1397
05,2018,1889
06,2018,1869
07,2018,1827
08,2018,1910
09,2018,1690
10,2018,1688
11,2018,1050
12,2018,923
01,2019,1020
02,2019,956
03,2019,1126
04,2019,1510
05,2019,1863
06,2019,1822
12,2019,800
11,2020,1108
02,2021,962
